Cod DCI,Denumirea Comuna Internationala (DCI),Cod DCI_sec,Denumirea comună internațională (DCI),Cod DC,Cod DC_sec,Denumirea comercială (DC),Cod ATC,coverage_type,Grupa maladiilor pentru compensare,"Cod CIM 
de diagnostic/limitare indicație",Firma producătoare,Ţara
011,ACIDUM ACETYLSALICYLICUM,,,0111018,,Cardiosalin Protec,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Antibiotic-Razgrad AD, Bulgaria(PROD: Balkanpharma-Razgrad AD, Bulgaria; )",Bulgaria
011,ACIDUM ACETYLSALICYLICUM,,,0111013,,PROTECARDIN 75 mg comprimate gastrorezistente,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Biofarm S.A., România(PROD: Biofarm S.A., România; )",România
011,ACIDUM ACETYLSALICYLICUM,,,0111015,,Magnicor,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Uzina de vitamine din Kiev SA, Ucraina(PROD: Uzina de vitamine din Kiev SA, Ucraina; )",Ucraina
011,ACIDUM ACETYLSALICYLICUM,,,0112008,,Aspirin® Cardio,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Bayer S.R.L. (prod.: Bayer Bitterfeld GmbH, Germania; Bayer Pharma AG, Germania)",România
011,ACIDUM ACETYLSALICYLICUM,,,0112012,,Sanocard,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
011,ACIDUM ACETYLSALICYLICUM,,,0112013,,Cardiosalin Protec,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Antibiotic-Razgrad AD, Bulgaria(PROD: Balkanpharma-Razgrad AD, Bulgaria; )",Bulgaria
011,ACIDUM ACETYLSALICYLICUM,,,0114002,,Cardiomagnyl,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Takeda Pharma A/S, Danemarca(PROD: Takeda GmbH, Germania; ,Takeda Pharma A/S, Danemarca; ,Takeda Pharma Sp. z o.o., Polonia; )",Danemarca
011,ACIDUM ACETYLSALICYLICUM,,,0114004,,Sanocard,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
011,ACIDUM ACETYLSALICYLICUM,,,0114004,,Sanocard,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
650,ACIDUM ACETYLSALICYLICUM,750,,6501008,7501008,ASK,B01AC06,Full,pentru tratamentul episodic,,Lekfarm SRL,Republica Belarus
650,ACIDUM ACETYLSALICYLICUM,750,,6501008,7501008,ASK,B01AC06,Full,pentru tratamentul episodic,,Lekfarm SRL,Republica Belarus
650,ACIDUM ACETYLSALICYLICUM,750,,6501011,7501011,Cardiomagnyl,B01AC06,Full,pentru tratamentul episodic,,"Takeda Pharma A/S (prod.: Takeda GmbH, Germania; Takeda Pharma A/S, Danemarca; Takeda Pharma Sp. z o.o., Polonia)",Danemarca
650,ACIDUM ACETYLSALICYLICUM,750,,6501016,7501016,Acard®,B01AC06,Full,pentru tratamentul episodic,,"Pharmaceutical Works Polpharma S.A., Polonia; Pharmaceutical Works Polpharma S.A., Polonia",Polonia
650,ACIDUM ACETYLSALICYLICUM,750,,6501016,7501016,Acard®,B01AC06,Full,pentru tratamentul episodic,,"Pharmaceutical Works Polpharma S.A., Polonia; Pharmaceutical Works Polpharma S.A., Polonia",Polonia
650,ACIDUM ACETYLSALICYLICUM,750,,6501017,7501017,Sanocard,B01AC06,Full,pentru tratamentul episodic,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
650,ACIDUM ACETYLSALICYLICUM,750,,6501018,7501018,Cardiosalin Protec,B01AC06,Full,pentru tratamentul episodic,,"Antibiotic-Razgrad AD, Bulgaria(PROD: Balkanpharma-Razgrad AD, Bulgaria; )",Bulgaria
650,ACIDUM ACETYLSALICYLICUM,750,,6501013,7501013,PROTECARDIN 75 mg comprimate gastrorezistente,B01AC06,Full,pentru tratamentul episodic,,"Biofarm S.A., România(PROD: Biofarm S.A., România; )",România
650,ACIDUM ACETYLSALICYLICUM,750,,6501015,7501015,Magnicor,B01AC06,Full,pentru tratamentul episodic,,"Uzina de vitamine din Kiev SA, Ucraina(PROD: Uzina de vitamine din Kiev SA, Ucraina; )",Ucraina
650,ACIDUM ACETYLSALICYLICUM,750,,6502008,7502008,Aspirin® Cardio,B01AC06,Full,pentru tratamentul episodic,,"Bayer S.R.L. (prod.: Bayer Bitterfeld GmbH, Germania; Bayer Pharma AG, Germania)",România
650,ACIDUM ACETYLSALICYLICUM,750,,6502012,7502012,Sanocard,B01AC06,Full,pentru tratamentul episodic,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
650,ACIDUM ACETYLSALICYLICUM,750,,6502013,7502013,Cardiosalin Protec,B01AC06,Full,pentru tratamentul episodic,,"Antibiotic-Razgrad AD, Bulgaria(PROD: Balkanpharma-Razgrad AD, Bulgaria; )",Bulgaria
650,ACIDUM ACETYLSALICYLICUM,750,,6504002,7504002,Cardiomagnyl,B01AC06,Full,pentru tratamentul episodic,,"Takeda Pharma A/S, Danemarca(PROD: Takeda GmbH, Germania; ,Takeda Pharma A/S, Danemarca; ,Takeda Pharma Sp. z o.o., Polonia; )",Danemarca
650,ACIDUM ACETYLSALICYLICUM,750,,6504004,7504004,Sanocard,B01AC06,Full,pentru tratamentul episodic,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
650,ACIDUM ACETYLSALICYLICUM,750,,6504004,7504004,Sanocard,B01AC06,Full,pentru tratamentul episodic,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
400,ACIDUM ACETYLSALICYLICUM,,,4004004,,Sanocard,B01AC06,Full,Pentru tratamentul în Îngrijiri paliative,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
400,ACIDUM ACETYLSALICYLICUM,,,4004004,,Sanocard,B01AC06,Full,Pentru tratamentul în Îngrijiri paliative,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
400,ACIDUM ACETYLSALICYLICUM,,,4004002,,Cardiomagnyl,B01AC06,Full,Pentru tratamentul în Îngrijiri paliative,,"Acino Pharma AG, Elveţia(PROD: Takeda GmbH, Germania; ,Takeda Pharma A/S, Danemarca; ,Takeda Pharma Sp. z o.o., Polonia; )",Elveţia
067,ACIDUM ALENDRONICUM,,,0671001,,Alendra,M05BA04,Partial,Pentru tratamentul osteoporozei,,"Kusum Healthcare Pvt.Ltd, India(PROD: Kusum Healthcare Pvt.Ltd, India; )",India
067,ACIDUM ALENDRONICUM,,,0671002,,Ostalon,M05BA04,Partial,Pentru tratamentul osteoporozei,,"Gedeon Richter PLC, Ungaria(PROD: Gedeon Richter Polska Sp z.o.o, Polonia; )",Ungaria
302,ACIDUM FOLICUM,,,3021003,,Acid folic-BP,B03BB01,Full,Pentru profilaxia şi tratamentul anemiilor la femei gravide şi profilaxia malformaţiilor,,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
302,ACIDUM FOLICUM,,,3021004,,Acid folic,B03BB01,Full,Pentru profilaxia şi tratamentul anemiilor la femei gravide şi profilaxia malformaţiilor,,Technolog SAP,Ucraina
302,ACIDUM FOLICUM,,,3022002,,Acid Folic-BP,B03BB01,Full,Pentru profilaxia şi tratamentul anemiilor la femei gravide şi profilaxia malformaţiilor,,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
302,ACIDUM FOLICUM,,,3022003,,Acid folic,B03BB01,Full,Pentru profilaxia şi tratamentul anemiilor la femei gravide şi profilaxia malformaţiilor,,Technolog SAP,Ucraina
302,ACIDUM FOLICUM,,,3022006,,Folfull,B03BB01,Full,Pentru profilaxia şi tratamentul anemiilor la femei gravide şi profilaxia malformaţiilor,,"Deva Holding A.Ş. , Turcia(PROD: Deva Holding A.Ş, Turcia; )",Turcia
302,ACIDUM FOLICUM,,,3022004,,Folicil,B03BB01,Full,Pentru profilaxia şi tratamentul anemiilor la femei gravide şi profilaxia malformaţiilor,,"BIAL-Portela & Cª., S.A.",Portugalia
086,ACIDUM IBANDRONICUM,,,0861001,,Osagrand® 150 mg,M05BA06,Partial,Pentru tratamentul osteoporozei,,"Zentiva k.s., Cehia(PROD: Zentiva k.s., Cehia; )",Cehia
086,ACIDUM IBANDRONICUM,,,0862001,,Osagrand® 3 mg/3 ml soluţie injectabilă,M05BA06,Partial,Pentru tratamentul osteoporozei,,"Zentiva k.s., Cehia(PROD: S.C. Zentiva S.A., România; ,Zentiva k.s., Cehia; )",Cehia
086,ACIDUM IBANDRONICUM,,,0862002,,Vivanat Rompharm,M05BA06,Partial,Pentru tratamentul osteoporozei,,"LLC Rompharm Company Georgia, Georgia(PROD: S.C. Rompharm Company S.R.L., România; )",Georgia
014,ACIDUM URSODEOXYCHOLICUM,,,0141010,,Hepaurs,A05AA02,Partial,Pentru tratamentul maladiilor aparatului digestiv,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
014,ACIDUM URSODEOXYCHOLICUM,,,0141015,,Grinterol®,A05AA02,Partial,Pentru tratamentul maladiilor aparatului digestiv,,"Grindeks Rus SRL (prod.: Grindeks SA, Letonia)",Rusia
014,ACIDUM URSODEOXYCHOLICUM,,,0141015,,Grinterol®,A05AA02,Partial,Pentru tratamentul maladiilor aparatului digestiv,,"Grindeks Rus SRL (prod.: Grindeks SA, Letonia)",Rusia
014,ACIDUM URSODEOXYCHOLICUM,,,0141016,,Bileclar,A05AA02,Partial,Pentru tratamentul maladiilor aparatului digestiv,,"Nobel Ilac Pazarlama ve Sanayii Ltd. Şti, Turcia(PROD: Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia; )",Turcia
014,ACIDUM URSODEOXYCHOLICUM,,,0141002,,Ursosan®,A05AA02,Partial,Pentru tratamentul maladiilor aparatului digestiv,,"PRO.MED.CS Praha a.s., Cehia(PROD: PRO.MED.CS Praha a.s., Cehia; )",Cehia
014,ACIDUM URSODEOXYCHOLICUM,,,0142003,,Ursolisin,A05AA02,Partial,Pentru tratamentul maladiilor aparatului digestiv,,"Magis Farmaceutici S.r.l., Italia(PROD: ABC Farmaceutici SpA, Italia; )",Italia
014,ACIDUM URSODEOXYCHOLICUM,,,0142004,,Hepaurs,A05AA02,Partial,Pentru tratamentul maladiilor aparatului digestiv,,"Balkan Pharmaceuticals SRL, SC",Republica Moldova
014,ACIDUM URSODEOXYCHOLICUM,,,0142006,,Ursomac,A05AA02,Partial,Pentru tratamentul maladiilor aparatului digestiv,,"GM Pharmaceuticals Ltd., Georgia(PROD: GM Pharmaceuticals Ltd., Georgia; )",Georgia
014,ACIDUM URSODEOXYCHOLICUM,,,0144001,,Ukrliv®,A05AA02,Partial,Pentru tratamentul maladiilor aparatului digestiv,,"Kusum Pharm SRL, Ucraina(PROD: Kusum Pharm SRL, Ucraina; )",Ucraina
234,ACIDUM URSODEOXYCHOLICUM,,,2341002,,Choludexan,A05AA02,Full,Pentru tratamentul în tulburări hepatobiliare asociate cu fibroză chistică),,"World Medicine Ltd, Georgia(PROD: World Medicine Ilac San.ve Tic. A.Ș., Turcia; )",Georgia
234,ACIDUM URSODEOXYCHOLICUM,,,2341003,,Ukrliv®,A05AA02,Full,Pentru tratamentul în tulburări hepatobiliare asociate cu fibroză chistică),,"Kusum Pharm SRL, Ucraina(PROD: Kusum Pharm SRL, Ucraina; )",Ucraina
501,ACIDUM VALPROICUM,,,5011004,,Orfiril® long 150 mg,N03AG01,Full,Pentru tratamentul epilepsiei,,Desitin Arzneimittel GmbH,Germania
501,ACIDUM VALPROICUM,,,5012001,,Orfiril® long 300 mg,N03AG01,Full,Pentru tratamentul epilepsiei,,Desitin Arzneimittel GmbH,Germania
501,ACIDUM VALPROICUM,,,5012008,,Depakine® Chrono 300 mg,N03AG01,Full,Pentru tratamentul epilepsiei,,"Sanofi Romania SRL (prod.: Sanofi Winthrop Industrie, Franţa)",România
501,ACIDUM VALPROICUM,,,5013005,,Depakine® Chrono 500 mg,N03AG01,Full,Pentru tratamentul epilepsiei,,"Sanofi Romania SRL (prod.: Sanofi Winthrop Industrie, Franţa)",România
,ALBENDAZOLUM,226,,,2261001,Vermigal® Novo 400 mg,P02CA03,Full,pentru tratamentul episodic,,"Biofarm SA, SC",România
,ALBENDAZOLUM,226,,,2261002,Zentel,P02CA03,Full,pentru tratamentul episodic,,"Laboratoire GlaxoSmithKline, Franţa(PROD: Aspen Bad Oldesloe GmbH, Germania; )",Franţa
,ALBENDAZOLUM,226,,,2263001,Albendazol-BP,P02CA03,Full,pentru tratamentul episodic,,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",Republica Moldova
,ALBENDAZOLUM,226,,,2263002,Aldazol,P02CA03,Full,pentru tratamentul episodic,,"Uzina de vitamine din Kiev SA, Ucraina(PROD: Uzina de vitamine din Kiev SA, Ucraina; )",Ucraina
,ALBENDAZOLUM,226,,,2263007,Alziben 400,P02CA03,Full,pentru tratamentul episodic,,"Zim Laboratories Limited, India(PROD: Zim Laboratories Limited, India; )",India
,ALBENDAZOLUM,226,,,2263006,Albela,P02CA03,Full,pentru tratamentul episodic,,"Kusum Pharm SRL, Ucraina(PROD: Kusum Pharm SRL, Ucraina; )",Ucraina
,ALBENDAZOLUM,226,,,2263006,Albela,P02CA03,Full,pentru tratamentul episodic,,"Kusum Pharm SRL, Ucraina(PROD: Kusum Pharm SRL, Ucraina; )",Ucraina
802,ALLOPURINOLUM,,,8021001,,Allopurinol,M04AA01,Partial,pentru maladie Guta,,"Centrul Stiintific de Producere ""Uzina Chimico-Farmaceutica Borsceagov"" SAP",Ucraina
802,ALLOPURINOLUM,,,8021002,,Milurit®,M04AA01,Partial,pentru maladie Guta,,"Egis Pharmaceuticals PLC (prod.: Egis Pharmaceuticals PLC, Ungaria)",Ungaria
