CodDiagnostic,DenDiagnostic,DenSubClasaDiagnostic,DenClasaDiagnostic
A050,Intoxicatia alimentara prin stafilococi,Boli infectioase intestinale,Boli infectioase si parazitare
A051,Botulismul,Boli infectioase intestinale,Boli infectioase si parazitare
A052,Intoxicatia alimentara prin Clostridium perfringens [Clostridium welchii],Boli infectioase intestinale,Boli infectioase si parazitare
A053,Intoxicatia alimentara prin Vibrio parahaemolyticus,Boli infectioase intestinale,Boli infectioase si parazitare
A054,Intoxicatia alimentara prin Bacillus cereus,Boli infectioase intestinale,Boli infectioase si parazitare
A058,Alte intoxicatii alimentare de origine bacteriana,Boli infectioase intestinale,Boli infectioase si parazitare
A059,"Intoxicatia alimentara de origine bacteriana,fara precizare",Boli infectioase intestinale,Boli infectioase si parazitare
A060,Dizenteria amibiana acuta,Boli infectioase intestinale,Boli infectioase si parazitare
A061,Amibiaza intestinala cronica,Boli infectioase intestinale,Boli infectioase si parazitare
A062,Colita amibiana nedizenterica,Boli infectioase intestinale,Boli infectioase si parazitare
A063,Amoebom (intestinal),Boli infectioase intestinale,Boli infectioase si parazitare
A064,Abcesul amibian al ficatului,Boli infectioase intestinale,Boli infectioase si parazitare
A065+,Abcesul amibian al pulmonului (J99.8*),Boli infectioase intestinale,Boli infectioase si parazitare
A066+,Abcesul amibian al creierului (G07.*),Boli infectioase intestinale,Boli infectioase si parazitare
A067,Amibiaza cutanata,Boli infectioase intestinale,Boli infectioase si parazitare
A068,Alte localizari ale unei infectii amibiene,Boli infectioase intestinale,Boli infectioase si parazitare
A069,"Amibiaza, fara precizare",Boli infectioase intestinale,Boli infectioase si parazitare
A070,Balantidiaza,Boli infectioase intestinale,Boli infectioase si parazitare
A071,Giardiaza [lambliaza],Boli infectioase intestinale,Boli infectioase si parazitare
A072,Cryptosporidioza,Boli infectioase intestinale,Boli infectioase si parazitare
A073,Infectia cu Isospora,Boli infectioase intestinale,Boli infectioase si parazitare
A078,"Alte boli intestinale prin protozoare, precizate",Boli infectioase intestinale,Boli infectioase si parazitare
A079,"Boala intestinala prin protozoare , fara precizare",Boli infectioase intestinale,Boli infectioase si parazitare
A080,Enterita prin Rotavirus,Boli infectioase intestinale,Boli infectioase si parazitare
A081,Gastro-enteropatia acuta prin agentul Norwalk,Boli infectioase intestinale,Boli infectioase si parazitare
A082,Enterita prin adenovirus,Boli infectioase intestinale,Boli infectioase si parazitare
A083,Alte enterite virale,Boli infectioase intestinale,Boli infectioase si parazitare
A084,"Infectii intestinale virale, fara precizare",Boli infectioase intestinale,Boli infectioase si parazitare
A085,"Alte infectii virale si intestinale - Alte infectii intestinale, precizate",Boli infectioase intestinale,Boli infectioase si parazitare
A09,Diareea si gastro-enterita probabil infectioasa,Boli infectioase intestinale,Boli infectioase si parazitare
A150,"Tuberculoza pulmonara,confirmata prin examen microscopic al expectoratiei,cu sau fara culturi",Tuberculoza,Boli infectioase si parazitare
A151,"Tuberculoza pulmonara,confirmata numai prin culturi",Tuberculoza,Boli infectioase si parazitare
A152,"Tuberculoza pulmonara,cu confirmare histologica",Tuberculoza,Boli infectioase si parazitare
A153,"Tuberculoza pulmonara,cu confirmare metoda nespecificata",Tuberculoza,Boli infectioase si parazitare
A154,"Tuberculoza ganglionilor intratoracici,cu confirmare bacteriologica si histologica",Tuberculoza,Boli infectioase si parazitare
A155,"Tuberculoza laringelui,traheii si bronhiilor,cu confirmare bacteriologica si histologica",Tuberculoza,Boli infectioase si parazitare
A156,"Pleurezia tuberculoasa,cu confirmare bacteriologica si histologica",Tuberculoza,Boli infectioase si parazitare
A157,"Primo-infectia tuberculoasa a cailor respiratorii,cu confirmare bacteriologica si histologica",Tuberculoza,Boli infectioase si parazitare
A158,"Alte forme de tuberculoza a cailor respiratorii,cu confirmare bacteriologica si histologica",Tuberculoza,Boli infectioase si parazitare
A159,"Tuberculoza cailor respiratorii,fara precizare,cu confirmare bacteriologica si histologica",Tuberculoza,Boli infectioase si parazitare
A160,"Tuberculoza pulmonara, cu investigatii bacteriologice sau histologice negative",Tuberculoza,Boli infectioase si parazitare
A161,"Tubercoloza pulmonara, fara investigatii bacteriologice sau histologice",Tuberculoza,Boli infectioase si parazitare
A162,"Tuberculoza pulmonara, fara mentiunea de confirmare bacteriologica sau histologica",Tuberculoza,Boli infectioase si parazitare
A163,"Tuberculoza ganglionilor intratoracici, fara mentiunea de confirmare bacteriologica sau histologica",Tuberculoza,Boli infectioase si parazitare
A164,"Tuberculoza laringelui, traheii si bronhiilor, fara mentiunea de confirmare bacteriologica sau histologica",Tuberculoza,Boli infectioase si parazitare
A165,Pleurezia tuberculoasa fara mentiunea de confirmare bacteriologica sau histologica,Tuberculoza,Boli infectioase si parazitare
A167,"Primo-infectia tuberculoasa a cailor respiratorii, fara mentiunea de confirmare bacteriologica sau histologica",Tuberculoza,Boli infectioase si parazitare
A168,Alte forme de tuberculoza ale cailor respiratorii fara mentiunea de confirmare bacteriologica sau histologica,Tuberculoza,Boli infectioase si parazitare
A169,"Tuberculoza cailor respiratorii, fara precizare,fara mentiunea confirmarii bacteriologice sau histologice",Tuberculoza,Boli infectioase si parazitare
A170+,Meningita tuberculoasa (G01*),Tuberculoza,Boli infectioase si parazitare
A171+,Tuberculomul meningeal,Tuberculoza,Boli infectioase si parazitare
A178+,Alte forme de tuberculoza a sistemului nervos,Tuberculoza,Boli infectioase si parazitare
A179+,"Tuberculoza sistemului nervos, fara precizare (G99.8*)",Tuberculoza,Boli infectioase si parazitare
A180+,Tuberculoza oaselor si articulatiilor,Tuberculoza,Boli infectioase si parazitare
A181+,Tuberculoza aparatului genito-urinar,Tuberculoza,Boli infectioase si parazitare
A182,Adenopatia tuberculoasa periferica,Tuberculoza,Boli infectioase si parazitare
A183,"Tuberculoza intestinului, peritoneului si ganglionilor mezenterici",Tuberculoza,Boli infectioase si parazitare
A184,Tuberculoza pielii si tesutului celular subcutanat,Tuberculoza,Boli infectioase si parazitare
A185+,Tuberculoza ochiului,Tuberculoza,Boli infectioase si parazitare
A186+,Tuberculoza urechii,Tuberculoza,Boli infectioase si parazitare
A187+,Tuberculoza suprarenalelor (E35.1*),Tuberculoza,Boli infectioase si parazitare
A188+,"Tuberculoza altor organe, precizate",Tuberculoza,Boli infectioase si parazitare
A190,"Tuberculoza miliara acuta, localizare unica si precizata",Tuberculoza,Boli infectioase si parazitare
A191,"Tuberculoza miliara acuta, localizari multiple",Tuberculoza,Boli infectioase si parazitare
A192,"Tuberculoza miliara acuta, fara precizare",Tuberculoza,Boli infectioase si parazitare
A198,Alte tuberculoze miliare,Tuberculoza,Boli infectioase si parazitare
A199,"Tuberculoza miliara , fara precizare",Tuberculoza,Boli infectioase si parazitare
A200,Pesta bubonica,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A201,Pesta cutanata,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A202,Pesta pulmonara,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A203,Pesta meningeala,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A207,Pesta septicemica,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A208,Alte forme de pesta,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A209,"Pesta , fara precizare",Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A210,Tularemia ulcero-glandulara,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A211,Tularemia oculo-glandulara,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A212,Tularemia pulmonara,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A213,Tularemia gastro-intestinala,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A217,Tularemia generalizata,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A218,Alte forme de tularemie,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A219,"Tularemia , fara precizare",Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A220,Antrax cutanat,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A221,Antrax pulmonar,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A222,Antrax gastro-intestinal,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A227,Septicemie carbunoasa,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A228,Alte forme de antrax,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A229,"Antraxul , fara precizare",Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A230,Brucelloza cu Brucella melitensis,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A231,Brucelloza cu Brucela abortus,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A232,Brucelloza cu Brucella suis,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A233,Brucelloza cu Brucella canis,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A238,Alte brucelloze,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A239,Brucelloza fara precizare,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A240,Morva,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A241,Melioidoza acuta sau galopanta,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A242,Melioidoza subacuta si cronica,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A243,Alte melioidoze,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A244,"Melioidoza , fara precizare",Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A250,Spiriloza,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A251,Streptobaciloza,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A259,"Febra cauzata de muscatura de sobolan , fara precizare",Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A260,Erizipeloid cutanat,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A267,Septicemia cu Erysipelothrix,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A268,Alte erizipeloide,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A269,"Erizipeloid , fara precizare",Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A270,Leptospiroza ictero-hemoragica,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A278,Alte leptospiroze,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A279,"Leptospiroza , fara precizare",Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A280,Pasteurelloza,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A281,Boala de zgirietura de pisica,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A282,Yersinioza extra-intestinala,Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A288,"Alte antropo-zoonoze bacteriene, precizate, neclasate la alte locuri",Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A289,"Antropo-zoonoze bacteriene, fara precizare",Unele antropozoonoze bacteriene,Boli infectioase si parazitare
A300,Lepra nedeterminata [Grupa I],Alte boli bacteriene,Boli infectioase si parazitare
A301,Lepra tuberculoida [Grupa II],Alte boli bacteriene,Boli infectioase si parazitare
A302,Lepra tuberculoida de tip intermediar atipic [Grupa BT],Alte boli bacteriene,Boli infectioase si parazitare
A303,Lepra de tip intermediar atipic [Grupa BB],Alte boli bacteriene,Boli infectioase si parazitare
A304,Lepra lepromatoasa de tip intermediar atipic [Grupa BL],Alte boli bacteriene,Boli infectioase si parazitare
A305,Lepra lepromatoasa [Grupa LL],Alte boli bacteriene,Boli infectioase si parazitare
A308,Alte forme de lepra,Alte boli bacteriene,Boli infectioase si parazitare
A309,"Lepra , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A310,Infectia pulmonara cu Mycobacterium,Alte boli bacteriene,Boli infectioase si parazitare
A311,Infectia cutanata cu Mycobacterium,Alte boli bacteriene,Boli infectioase si parazitare
A318,Alte infectii cu Mycobacterium,Alte boli bacteriene,Boli infectioase si parazitare
A319,"Infectia cu Mycobacterium , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A320,Listerioza cutanata,Alte boli bacteriene,Boli infectioase si parazitare
A321+,Meningita si meningoencefalita listeriana,Alte boli bacteriene,Boli infectioase si parazitare
A327,Septicemia listeriana,Alte boli bacteriene,Boli infectioase si parazitare
A328,Alte listerioze,Alte boli bacteriene,Boli infectioase si parazitare
A329,"Listerioza , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A33,Tetanosul nou-nascutului,Alte boli bacteriene,Boli infectioase si parazitare
A34,Tetanosul obstetrical,Alte boli bacteriene,Boli infectioase si parazitare
A35,Alte forme de tetanos,Alte boli bacteriene,Boli infectioase si parazitare
A360,Difteria faringiana,Alte boli bacteriene,Boli infectioase si parazitare
A361,Difteria nazo-faringiana,Alte boli bacteriene,Boli infectioase si parazitare
A362,Difteria laringiana,Alte boli bacteriene,Boli infectioase si parazitare
A363,Difteria cutanata,Alte boli bacteriene,Boli infectioase si parazitare
A368,Alte forme de difterie,Alte boli bacteriene,Boli infectioase si parazitare
A369,"Difteria , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A370,Tusea convulsiva cu Bordetella pertussis,Alte boli bacteriene,Boli infectioase si parazitare
A371,Tusea convulsiva cu Bordetella parapertussis,Alte boli bacteriene,Boli infectioase si parazitare
A378,Tusea convulsiva datorata altor specii precizate de Bordetella,Alte boli bacteriene,Boli infectioase si parazitare
A379,"Tusea convulsiva , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A38,Scarlatina,Alte boli bacteriene,Boli infectioase si parazitare
A390+,Meningita cu meningococi (G01*),Alte boli bacteriene,Boli infectioase si parazitare
A391+,Sindromul Waterhouse-Friderichsen (E35.1*),Alte boli bacteriene,Boli infectioase si parazitare
A392,Meningococemia acuta,Alte boli bacteriene,Boli infectioase si parazitare
A393,Meningococemia cronica,Alte boli bacteriene,Boli infectioase si parazitare
A394,"Meningococemia , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A395+,Cardite cu meningococi,Alte boli bacteriene,Boli infectioase si parazitare
A398,Alte infectii cu meningococi,Alte boli bacteriene,Boli infectioase si parazitare
A399,"Infectia meningococica , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A400,"Septicemia cu Streptococcus, grupa A",Alte boli bacteriene,Boli infectioase si parazitare
A401,"Septicemia cu Streptococcus, grupa B",Alte boli bacteriene,Boli infectioase si parazitare
A402,"Septicemia cu Streptococcus, grupa D",Alte boli bacteriene,Boli infectioase si parazitare
A403,Septicemia cu Streptococcus pneumoniae,Alte boli bacteriene,Boli infectioase si parazitare
A408,Alte septicemii cu streptococi,Alte boli bacteriene,Boli infectioase si parazitare
A409,"Septicemia cu streptococi , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A410,Septicemia datorita stafilococului auriu,Alte boli bacteriene,Boli infectioase si parazitare
A411,"Septicemia datorita altor stafilococi, specificati",Alte boli bacteriene,Boli infectioase si parazitare
A412,Septicemia datorita unui stafilococ neprecizat,Alte boli bacteriene,Boli infectioase si parazitare
A413,Septicemia datorita Haemophilus influenzae,Alte boli bacteriene,Boli infectioase si parazitare
A414,Septicemia datorita anaerobilor,Alte boli bacteriene,Boli infectioase si parazitare
A415,Septicemia datarita altor microorganisme Gram-negative,Alte boli bacteriene,Boli infectioase si parazitare
A418,Alte septicemii specificate,Alte boli bacteriene,Boli infectioase si parazitare
A419,"Septicemia , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A420,Actinomicoza pulmonara,Alte boli bacteriene,Boli infectioase si parazitare
A421,Actinomicoza abdominala,Alte boli bacteriene,Boli infectioase si parazitare
A422,Actinomicoza cervico-faciala,Alte boli bacteriene,Boli infectioase si parazitare
A427,Septicemia actinomicotica,Alte boli bacteriene,Boli infectioase si parazitare
A428,Alte forme de actinomicoza,Alte boli bacteriene,Boli infectioase si parazitare
A429,"Actinomicoza , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A430,Nocardioza pulmonara,Alte boli bacteriene,Boli infectioase si parazitare
A431,Nocardioza cutanata,Alte boli bacteriene,Boli infectioase si parazitare
A438,Alte nocardioze,Alte boli bacteriene,Boli infectioase si parazitare
A439,"Nocardioza , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A440,Bartonelloza generalizata,Alte boli bacteriene,Boli infectioase si parazitare
A441,Bartonelloza cutanata sau cutano-mucoasa,Alte boli bacteriene,Boli infectioase si parazitare
A448,Alte bartonelloze,Alte boli bacteriene,Boli infectioase si parazitare
A449,"Bartonelloza , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A46,Erizipelul,Alte boli bacteriene,Boli infectioase si parazitare
A480,Gangrena gazoasa,Alte boli bacteriene,Boli infectioase si parazitare
A481,Boala legionarilor,Alte boli bacteriene,Boli infectioase si parazitare
A482,Boala legionarilor fara semne pulmonare [febra Pontiac],Alte boli bacteriene,Boli infectioase si parazitare
A483,Sindromul de soc toxic,Alte boli bacteriene,Boli infectioase si parazitare
A484,Febra purpurica din Brazilia,Alte boli bacteriene,Boli infectioase si parazitare
A488,"Alte boli bacteriane, precizate, neclasificate la alte locuri",Alte boli bacteriene,Boli infectioase si parazitare
A490,"Infectia stafilococica , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A491,"Infectia streptococica , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A492,"Infectia cu Haemophilus influenzae , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A493,"Infectia cu Mycoplasma , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A498,Alte infectii bacteriene cu localizare neprecizata,Alte boli bacteriene,Boli infectioase si parazitare
A499,"Infectia bacteriana , fara precizare",Alte boli bacteriene,Boli infectioase si parazitare
A500,"Sifilisul congenital precoce, simptomatic","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A501,"Sifilisul congenital precoce, latent","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A502,"Sifilisul congenital precoce, fara precizare","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A503,Oculopatia sifilitica congenitala tardiva,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A504,Sifilisul congenital nervos tardiv (neuro-sisifilis juvenil),"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A505,"Alte forme tardive de sifilis congenital, simptomatic","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A506,"Sifilisul congenital tardiv, latent","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A507,"Sifilisul congenital tardiv, fara precizare","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A509,"Sifilisul congenital, fara precizare","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A510,Sifilisul genital primar,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A511,Sifilisul anal primar,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A512,"Sifilisul primar, cu alte localizari","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A513,Sifilisul secundar al pielii si mucoaselor,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A514,Alte forme de sifilis secundar,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A515,"Sifilisul recent, latent","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A519,Sifilisul recent fara precizare,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A520+,Sifilisul cardio-vascular,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A521,Sifilisul nervos simptomatic,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A522,Sifilisul nervos asimptomatic,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A523,"Sifilisul nervos, fara precizare","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A527,"Alte forme de sifilis tardiv, cu simptome","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A528,"Sifilisul tardiv, latent","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A529,"Sifilisul tardiv, fara precizare","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A530,"Sifilisul latent, neprecizat ca fiind recent sau tardiv","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A539,"Sifilis, fara precizare","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A540,"Infectia gonococica a partii inferioare a aparatului genito-urinar, fara abces periuretral sau a glandelor anexe","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A541,"Infectia gonococica a partii inferioare a aparatului genito-urinar, cu abces periuretral sau al glandelor anexe","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A542+,Pelviperitonita gonococica si alte infectii genito-urinare gonococice,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A543,Infectia gonococica a ochiului,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A544+,Infectia gonococica a sistemului osteo-articular,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A545,Faringita gonococica,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A546,Infectia gonococica a anusului si rectului,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A548,Alte infectii gonococice,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A549,"Infectia gonococica, fara precizare","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A55,Limfogranulomatoza veneriana cu Chlamydia,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A560,Afectiuni cu Chlamydia ale partii inferioare a aparatului genito-urinar,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A561+,"Infectia cu Chlamydia, pelvi-peritoneala si a altor organe genito-urinare","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A562,"Infectia cu Chlamydia a aparatului genito-urinar, fara precizare","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A563,Infectia anusului si rectului cu Chlamydia,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A564,Infectia faringelui cu Chlamydia,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A568,"Infectia prin Chlamydia transmisa pe caile sexuale, alte localizari","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A57,Sancrul moale,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A58,Granulom inghinal,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A590,Trichomoniaza uro-genitala,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A598,Alte localizari de trichomoniaza,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A599,"Trichomoniaza, fara precizare","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A600,Infectiile organelor genitale si ale aparatului genito-urinar prin virusul herpetic,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A601,Infectia marginei cutanate a anusului si rectului prin virusul herpetic,"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A609,"Infectia ano-genitala prin virusul herpetic , fara precizare","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A630,Veruce ano- genitale (veneriene),"Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A638,"Alte boli precizate al caror mod de transmitere este in special cel sexual, neclasate la alte locuri","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A64,"Bolile transmise sexual, fara precizare","Infectii al caror mod de transmitere este, in special sexual",Boli infectioase si parazitare
A65,Sifilisul nevenerian,Alte boli prin spirochete,Boli infectioase si parazitare
A660,Leziunile initiale ale pianului,Alte boli prin spirochete,Boli infectioase si parazitare
A661,Papilomul multiplu si pianul planetar umed (pianul-crab),Alte boli prin spirochete,Boli infectioase si parazitare
A662,Alte leziuni cutanate precoce ale pianului,Alte boli prin spirochete,Boli infectioase si parazitare
A663,Hipercheratoza pianica,Alte boli prin spirochete,Boli infectioase si parazitare
A664,Gomele si ulcerele pianice,Alte boli prin spirochete,Boli infectioase si parazitare
A665,Gangosa,Alte boli prin spirochete,Boli infectioase si parazitare
A666,Leziunile osteo-articulare pianice,Alte boli prin spirochete,Boli infectioase si parazitare
A667,Alte manifestari ale pianului,Alte boli prin spirochete,Boli infectioase si parazitare
A668,Pianul latent,Alte boli prin spirochete,Boli infectioase si parazitare
A669,"Pianul , fara precizare",Alte boli prin spirochete,Boli infectioase si parazitare
A670,Leziunile initiale de pinta,Alte boli prin spirochete,Boli infectioase si parazitare
A671,Leziunile intermediare ale pintei,Alte boli prin spirochete,Boli infectioase si parazitare
A672,Leziunile tardive ale pintei,Alte boli prin spirochete,Boli infectioase si parazitare
A673,Leziunile mixte ale pintei,Alte boli prin spirochete,Boli infectioase si parazitare
A679,"Pinta , fara precizare",Alte boli prin spirochete,Boli infectioase si parazitare
